Accession_number,File_Present
  ABFU01000000,FALSE
  CP047673,FALSE
 AKIF00000000,FALSE
 CP002536,FALSE
 CP012147,FALSE
 CP013355,FALSE
 CP020465,FALSE
 CP022242,FALSE
 CP042909,FALSE
 CP061081,FALSE
 CP090152,FALSE
 JAROCF000000000,FALSE
 NC_007971,FALSE
 NC_007973,FALSE
 NC_007974,FALSE
 NC_018531,FALSE
 NZ_CP012677,FALSE
 NZ_CP013747,FALSE
 NZ_CP013747.1,FALSE
 NZ_CP014196,FALSE
 NZ_CP018863.,FALSE
 NZ_CP019304,FALSE
 NZ_CP022436,FALSE
 NZ_CP026514.1,FALSE
 NZ_JAATEO000000000/JAATE001,FALSE
 PVQK00000000/ PVQK01,FALSE
AFGG01000000,FALSE
AGZI00000000,FALSE
AJKS00000000,FALSE
AJKS02000001,TRUE
AJKS02000002,TRUE
AJKS02000003,TRUE
AJKS02000004,TRUE
AJKS02000005,TRUE
AJKS02000006,TRUE
AJKS02000007,TRUE
AJKS02000008,TRUE
AJKS02000009,TRUE
AJKS02000010,TRUE
AJKS02000011,TRUE
AJKS02000012,TRUE
AJKS02000013,TRUE
AJKS02000014,TRUE
AJKS02000015,TRUE
AJKS02000016,TRUE
AJKS02000017,TRUE
AJKS02000018,TRUE
AJKS02000019,TRUE
AJKS02000020,TRUE
AJKS02000021,TRUE
AJKS02000022,TRUE
AJKS02000023,TRUE
AJKS02000024,TRUE
AJKS02000025,TRUE
AJKS02000026,TRUE
AJKS02000027,TRUE
AJKS02000028,TRUE
AJKS02000029,TRUE
AJKS02000030,TRUE
AJKS02000031,TRUE
AJKS02000032,TRUE
AJKS02000033,TRUE
AJKS02000034,TRUE
AL009126,FALSE
AL645882,FALSE
AL935263,FALSE
AP004593,TRUE
AP004594,TRUE
AP004595,TRUE
AP004596,TRUE
AP004597,TRUE
AP004598,TRUE
AP004599,TRUE
AP004600,TRUE
AP004601,TRUE
AP004603,TRUE
AP004605,TRUE
AP008957.1,TRUE
AP009493,FALSE
AP014718,FALSE
AP014719.1,TRUE
AP017305,TRUE
AP018553,TRUE
AP018697.1,TRUE
AP022847,TRUE
APBN01000001,TRUE
ARLD00000000,FALSE
AUGP01000000,FALSE
AVCO01000000,FALSE
BA000030,FALSE
CP000248,FALSE
CP000676,FALSE
