Paper.name,Accession_number,Bacterial.name..Found.of.Species.finder.,NUMBER,Bacterial.name..written.in.paper.
Genome sequence of Oceanobacillus iheyensis isolated from the Iheya Ridge and its unexpected adaptive capabilities to extreme environments ,AP004593,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004594,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004595,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004596,Not found,16,Oceanobacillus iheyensis HTE831
,AP004597,Not found,16,Oceanobacillus iheyensis HTE831
,AP004598,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004599,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004600,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004601,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004603,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004605,Not found,16,Oceanobacillus iheyensis HTE831
"Complete genome sequence of cyanobacterium Fischerella sp. NIES-3754, providing thermoresistant optogenetic tools",AP017305,Fischerella Major NIES-592,1,Fischerella  and 9 cyanobacteriochromes
Complete Genome Sequence of Thermus aquaticus Y51MC23,CP010822,Thermus Scotoductus SA-01,4,Thermus aquaticus Y51MC23
Complete genome sequence of Pseudomonas frederiksbergensis ERDD5:01 revealed genetic bases for survivability at high altitude ecosystem and bioprospection potential,CP017886,Pseudomonas sp. NP28-5,1,Pseudomonas frederiksbergensis
Genomic and transcriptomic insights into the survival of the subaerial cyanobacterium Nostoc flagelliforme in arid and exposed habitats,CP024785,Nostoc sp. Os-1,1,Nostoc flagelliforme
"Genome analysis of Crassaminicella sp. SY095, an anaerobic mesophilic marine bacterium isolated from a deep-sea hydrothermal vent on the Southwest Indian Ridge",CP042243,Uncultured Firmicutes bacterium,1,Crassaminicella sp. SY095
"Complete genome sequencing of Bacillus sp. TK-2, analysis of its cold evolution adaptability",CP067375,Bacillus Anthracis sp A0389,1, Bacillus sp. TK-2
Complete genome analysis of copper resistant bacteria Pseudoalteromonas sp. CuT4–3 isolated from a deep-sea hydrothermal vent,CP142030,Pseudoalteromonas Agarivorans,1,Pseudoalteromonas sp. CuT4-3
Whole genome sequence analysis reveals high genetic variation of newly isolated Acidithiobacillus ferrooxidans IO-2C,KT203930, Acidithiobacillus spLLS-1,1, Acidithiobacillus ferrooxidans
,CP031188, Flavobacterium arcticum ,1, Flavobacterium arcticum 
Genome Analysis of the Anaerobic Thermohalophilic Bacterium Halothermothrix orenii,CP001098,Halothermothrix ,1,Halothermothrix orenii
Complete genome sequence of Planococcus sp. PAMC21323 isolated from Antarctica and its metabolic potential to detoxify pollutants,CP009129, Planococcus sp.  PAMC21323,1,Planococcus sp. 
Psychrotrophic plant beneficial bacteria from the glacial ecosystem of Sikkim Himalaya: Genomic evidence for the cold adaptation and plant growth promotion,CP013203,,0,
,CP013200,Arthrobacter Alpinus,6,
,CP019062,Rohnella sp. RMRI.05,1,
"Complete genome sequence of Flavobacterium arcticum SM1502T, exhibiting adaption to the Arctic marine salty environment",CP031188,Flavobacterium Articum ,1,Flavobacterium arcticum SM1502T
,NZ_JRLV01000001,Not found,16,Flavobacterium arcticum SM1502T
"Complete genome sequence of a psychrotolerant and piezotolerant bacterium Parasedimentitalea marina W43T, isolated from deep sea water of the New Britain trench",CP033219,Sedimentitalea sp. W43,1,Parasedimentitalea marina 
"Antarctic desert soil bacteria exhibit high novel natural product potential, evaluated through long-read genome sequencing and comparative genomics",CP043178,Arthrobacter sp HLT 1-5,1,
