Paper.name,Accession_number,Bacterial.name..Found.of.Species.finder.,NUMBER,Bacterial.name..written.in.paper.
"Whole-Genome Shotgun Sequencing of the Extremophile Alkalibacillus haloalkaliphilus C-5, of Indian Origin", AKIF00000000,Alkalibacillus Haloalkaliphilus,1,Alkalibacillus Haloalkaliphilus
Genome Sequence and Transcriptome Analysis of the Radioresistant Bacterium Deinococcus gobiensis: Insights into the Extreme Environmental Adaptations, CP002536,Deinnococcus proteolyticus,1,Deinococcus gobiensis
Complete genome sequence of the bioleaching bacterium Leptospirillum sp. group II strain CF-1, CP012147,Leptospirillum Ferriphilum,1,Leptospirillum ferrooxidans 
"Complete genome sequence of Methanofervidicoccus sp. A16, a thermophilic methanogen isolated from Mid Cayman Rise hydrothermal vent", CP022242,Hydrothermal Vent Metagenome,1,Methanofervidicoccus
"Complete genome sequence of Thermosulfurimonas marina SU872T, an anaerobic thermophilic chemolithoautotrophic bacterium isolated from a shallow marine hydrothermal vent", CP042909,Thermosulfurimonas Marina,1,Thermosulfurimonas Marina
Genomic insights revealed the environmental adaptability of Planococcus halotolerans Y50 isolated from petroleum-contaminated soil on the Qinghai-Tibet Plateau,  CP047673,Planococcusmsp SCU63,1,Planococcus halotolerans Y50
"Complete genome sequence of Marinomonas arctica BSI20414, a giant antifreeze protein-producing bacterium isolated from Arctic sea ice", CP061081,Marinomonas sp 382,1,Marinomonas arctica BSI20414
Complete genome sequence of Roseivivax marinus strain TCYB24 with quorum sensing system reveal the adaptive mechanism against deep-sea hydrothermal environment, CP090152,Roseivivax marinus,2,Roseivivax marinus
"Whole genome sequencing and comparative genomic analyses of Planococcus alpniumensis MSAK28401T, a new species isolated from Antarctic krill",JAAMTH000000000,Planococcus Rifietoensis,1,Planococcus alpniumensis
Whole-genome sequencing of two Streptomyces strains isolated from the sand dunes of Sahara,JADBJQ000000000,Streptomyces Rochei,2,Streptomyces
,JADBJP000000000,Streptomyces Rochei,2,Streptomyces
