Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	WIGE01000002.1	2463	2657	+	crpP	ICE-associated protein CrpP	plus	AMR	AMR	FLUOROQUINOLONE	FLUOROQUINOLONE	BLASTX	65	65	100.00	98.46	65	AEQ93536.1	ICE-associated protein CrpP	NA	NA
NA	WIGE01000004.1	3843	4037	+	crpP	ICE-associated protein CrpP	plus	AMR	AMR	FLUOROQUINOLONE	FLUOROQUINOLONE	BLASTX	65	65	100.00	96.92	65	AEQ93536.1	ICE-associated protein CrpP	NA	NA
NA	WIGE01000006.1	185551	185955	+	fosA	FosA family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	135	135	100.00	100.00	135	WP_003082280.1	FosA family fosfomycin resistance glutathione transferase	NA	NA
NA	WIGE01000012.1	166737	167522	+	blaOXA-848	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-848	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	262	262	100.00	100.00	262	WP_019485147.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-848	NA	NA
NA	WIGE01000013.1	61723	62871	+	mexA	multidrug efflux RND transporter periplasmic adaptor subunit MexA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	383	383	100.00	100.00	383	AAA74436.1	multidrug efflux RND transporter periplasmic adaptor subunit MexA	NA	NA
NA	WIGE01000015.1	185385	186188	+	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	268	268	100.00	100.00	268	WP_003113011.1	aminoglycoside O-phosphotransferase APH(3')-IIb	NA	NA
NA	WIGE01000015.1	198550	199740	-	blaPDC-16	class C beta-lactamase PDC-16	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	397	397	100.00	100.00	397	WP_019485213.1	class C beta-lactamase PDC-16	NA	NA
NA	WIGE01000018.1	41457	41861	-	fosA	FosA family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	135	135	100.00	100.00	135	WP_003082280.1	FosA family fosfomycin resistance glutathione transferase	NA	NA
NA	WIGE01000024.1	113098	114339	-	mexE	multidrug efflux RND transporter periplasmic adaptor subunit MexE	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	414	414	100.00	99.76	414	AAG05881.1	multidrug efflux RND transporter periplasmic adaptor subunit MexE	NA	NA
NA	WIGE01000033.1	187914	188318	+	fosA	FosA family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	135	135	100.00	100.00	135	WP_003082280.1	FosA family fosfomycin resistance glutathione transferase	NA	NA
NA	WIGE01000038.1	49245	49880	+	catB7	type B-4 chloramphenicol O-acetyltransferase CatB7	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	BLASTX	212	212	100.00	98.11	212	WP_003112709.1	type B-4 chloramphenicol O-acetyltransferase CatB7	NA	NA
NA	WIGE01000041.1	39950	41137	-	mexX	multidrug efflux RND transporter periplasmic adaptor subunit MexX	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	396	396	100.00	98.99	396	AAF14522.1	multidrug efflux RND transporter periplasmic adaptor subunit MexX	NA	NA
NA	WIGE01000050.1	33652	34056	-	fosA	FosA family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	135	135	100.00	100.00	135	WP_003082280.1	FosA family fosfomycin resistance glutathione transferase	NA	NA
