Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	NC_007530.2	688881	691277	+	inhA2	M6 family metalloprotease immune inhibitor InhA2	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	799	799	100.00	100.00	799	AAP24685.1	M6 family metalloprotease immune inhibitor InhA2	NA	NA
NA	NC_007530.2	695145	695993	+	cerA	phospholipase CerA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	283	283	100.00	98.59	283	AAS39677.1	phospholipase CerA	NA	NA
NA	NC_007530.2	696055	697068	+	sph	sphingomyelinase C	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	338	338	100.00	100.00	338	AAP24691.1	sphingomyelinase C	NA	NA
NA	NC_007530.2	1240441	1242825	+	inhA1	M6 family metalloprotease immune inhibitor InhA1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	795	796	100.00	96.61	796	ADH05944.1	M6 family metalloprotease immune inhibitor InhA1	NA	NA
NA	NC_007530.2	1770934	1772091	+	nheA	non-hemolytic enterotoxin NHE subunit A	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	386	386	100.00	97.93	386	AAS40892.1	non-hemolytic enterotoxin NHE subunit A	NA	NA
NA	NC_007530.2	1772126	1773331	+	nheB	non-hemolytic enterotoxin NHE subunit B	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	402	402	100.00	98.51	402	AAS40893.1	non-hemolytic enterotoxin NHE subunit B	NA	NA
NA	NC_007530.2	1773442	1774518	+	nheC	non-hemolytic enterotoxin NHE subunit C	plus	VIRULENCE	VIRULENCE	NA	NA	INTERNAL_STOP	359	359	100.00	95.26	359	AAS40894.1	non-hemolytic enterotoxin NHE subunit C	NA	NA
NA	NC_007530.2	1838333	1839592	+	entFM	enterotoxin EntFM	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	420	421	100.00	98.81	421	AFH83235.1	enterotoxin EntFM	NA	NA
NA	NC_007530.2	2328598	2329524	+	bla	class A beta-lactamase Bla1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	309	309	100.00	100.00	309	WP_011053164.1	class A beta-lactamase Bla1	NA	NA
NA	NC_007530.2	2352943	2353950	+	hlyII	hemolysin II HlyII	plus	VIRULENCE	VIRULENCE	NA	NA	INTERNAL_STOP	336	412	81.55	96.13	336	AAP10457.1	hemolysin II HlyII	NA	NA
NA	NC_007530.2	2354361	2354963	+	hlyIIR	hemolysin II regulator HlyIIR	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	201	201	100.00	99.50	201	AAO74585.1	hemolysin II regulator HlyIIR	NA	NA
NA	NC_007530.2	2933463	2934014	+	satA	streptothricin N-acetyltransferase SatA	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTX	184	184	100.00	100.00	184	WP_000054744.1	streptothricin N-acetyltransferase SatA	NA	NA
NA	NC_007530.2	3086429	3087964	-	alo	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	512	512	100.00	100.00	512	AAP27127.1	anthrolysin O/cereolysin O family cholesterol-dependent cytolysin Alo	NA	NA
NA	NC_007530.2	3216962	3217729	-	bla2	BcII family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	EXACTX	256	256	100.00	100.00	256	WP_000799223.1	BcII family subclass B1 metallo-beta-lactamase	NA	NA
NA	NC_007530.2	3557777	3558763	-	plcA	phosphatidylinositol diacylglycerol-lyase	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	329	329	100.00	100.00	329	AAP27624.1	phosphatidylinositol diacylglycerol-lyase	NA	NA
NA	NC_007530.2	3778526	3778942	+	fosB2	fosfomycin resistance bacillithiol transferase FosB2	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	ALLELEX	139	139	100.00	100.00	139	WP_000938987.1	fosfomycin resistance bacillithiol transferase FosB2	NA	NA
NA	NC_007530.2	5081214	5082068	-	plcR	transcriptional regulator PlcR	plus	VIRULENCE	VIRULENCE	NA	NA	INTERNAL_STOP	285	285	100.00	98.25	285	AAT61178.1	transcriptional regulator PlcR	NA	NA
